   GCN        Name       Time    TimeHHMMSS  Duration   Fluence  Err_Fluence(-)  Err_Fluence(+)      PFti  PFscale       PF  Err_PF(-)  Err_PF(+)    Ep  Err_Ep(-)  Err_Ep(+)       Mode  Z(Redshift) 
 22640  GRB180411A  44862.530  12:27:42.530       90s   4.01E-5        -0.91E-5        +0.91E-5   +50.496    0.064   3.3E-6    -0.7E-6    +0.7E-6   239        -49        +55  triggered           -- 
 22624  GRB180404C  78131.929  21:42:11.929      200s   1.33E-4        -0.18E-4        +0.19E-4    +2.672    0.064  2.11E-5   -0.37E-5   +0.37E-5   342        -49        +58  triggered           -- 
 22621  GRB180409A  29904.770  08:18:24.770       20s    8.8E-6         -1.3E-6         +1.3E-6    +9.408    0.064   8.8E-6    -1.3E-6    +1.3E-6   180        -14        +15  triggered           -- 
 22609  GRB180404B   7898.049  02:11:38.049       29s   2.60E-5        -0.16E-5        +0.18E-5    +8.832    0.064  2.07E-6   -0.66E-6   +0.66E-6   205        -17        +21  triggered           -- 
 22588  GRB180402A  35100.353  09:45:00.353     180ms   2.14E-6        -0.33E-6        +0.53E-6    +0.086    0.016  2.03E-5   -0.45E-5   +0.60E-5   703       -161       +276  triggered           -- 
 22554  GRB180318A  84002.795  23:20:02.795    280.0s   1.13E-4        -0.24E-4        +0.23E-4   +18.560    0.064  4.89E-6   -1.04E-6   +1.11E-6   195        -45        +69  triggered           -- 
 22548  GRB180316A  17845.869  04:57:25.869       29s   1.43E-5        -0.21E-5        +0.38E-5    +2.976    0.064  2.77E-6   -1.16E-6   +1.49E-6   439       -139       +424  triggered           -- 
 22547  GRB180324A  16629.939  04:37:09.939      0.7s    7.4E-7         -2.1E-7         +2.1E-7    +0.256    0.064   7.4E-7    -2.1E-7    +2.1E-7   154        -38        +77  triggered           -- 
 22546  GRB180325A   6866.876  01:54:26.876       10s    1.9E-5         -0.3E-5         +0.3E-5    +1.728    0.064   1.9E-5    -0.3E-5    +0.3E-5   306        -39        +50  triggered         2.25 
 22513  GRB180314A   2601.957  00:43:21.957       22s   1.47E-5        -0.06E-5        +0.06E-5    +0.490    0.064  2.61E-6   -1.05E-6   +1.21E-6   111         -6         +6  triggered        1.445 
 22461  GRB180305A  33967.647  09:26:07.647       44s   8.43E-5        -0.58E-5        +0.59E-5    +3.168    0.064  2.02E-5   -0.32E-5   +0.32E-5   348        -27        +30  triggered           -- 
 22453  GRB180223A  22171.045  06:09:31.045      200s    8.9E-5         -1.0E-5         +1.0E-5   +30.912    0.064   8.9E-5    -1.0E-5    +1.0E-5   284        -31        +33  triggered           -- 
 22426  GRB180218A  54845.382  15:14:05.382       17s    7.6E-5         -0.6E-5         +0.6E-5    +3.648    0.064   3.2E-5    -0.3E-5    +0.3E-5   361        -31        +33  triggered           -- 
 22415  GRB180210A  44678.454  12:24:38.454       65s   4.81E-5        -0.30E-5        +0.36E-5   +20.224    0.064  5.35E-6   -1.07E-6   +1.10E-6   153         -8         +8  triggered           -- 
 22385  GRB180204A   9372.902  02:36:12.902        --   3.81E-6        -0.57E-6        +0.66E-6    +0.038    0.016  3.81E-6   -0.57E-6   +0.66E-6   843       -177       +263  triggered           -- 
 22355  GRB180113B    958.621  00:15:58.621        --   4.05E-5        -0.29E-5        +0.29E-5    +3.200    0.064   2.2E-5    -0.1E-5    +0.1E-5   559        -58        +71  triggered           -- 
 22351  GRB180113C  36129.524  10:02:09.524       80s    2.9E-4         -0.1E-4         +0.1E-4    +6.400    0.064   3.1E-5    -0.3E-5    +0.3E-5   368        -22        +24  triggered           -- 
 22344  GRB180113A  10027.005  02:47:07.005       13s   1.36E-5        -0.10E-5        +0.10E-5    +0.448    0.064   3.1E-6    -0.3E-6    +0.3E-6   293        -29        +36  triggered           -- 
 22336  GRB180111A  60130.616  16:42:10.616       61s   8.44E-5        -0.57E-5        +0.64E-5    +0.018    0.064  1.06E-5   -0.21E-5   +0.22E-5   894        -95       +113  triggered           -- 
